name;city;adress;longitude;latitude;
Cesky Film;Szczecin;aleja Papieża Jana Pawła II 3-4;53.4297273;14.5519324;
Słody;Szczecin;plac Stefana Batorego 4;53.42199585;14.5522883109375;
The Office;Szczecin;Osiek 10;53.4238735;14.5600665143046;
Ambasada San Escobar;Świdnica;Rynek;50.84295131822957;16.487397068754134;
Przystanek Tleń;Tleń;Bydgoska 2;53.6173418;18.2730047509942;
Jan Olbracht;Toruń;Szczytna 15;53.01101285;18.6056115271217;
Krajina Piwa;Toruń;rynek Nowomiejski 8;53.0111775;18.6110029;
Gambrinus;Tychy;Jana Pawła II 10;50.11182880053263;18.98617488375272;
Wielokran  ;Tychy;Plac Krzysztofa Kamila Baczyńskiego 2;50.1263611;18.9823748;
Komisariat 17;Warszawa;aleja Stanów Zjednoczonych 67;52.2429252;21.0831144;
A Może Pifko? PUB;Warszawa;Melchiora Wańkowicza 1;52.1315734;21.0669019;
Artezan Pub ;Warszawa;Stanisława Moniuszki 1a;52.23494615;21.0125195084285;
Beczka  ;Warszawa;aleja Komisji Edukacji Narodowej 24;52.156194256021934;21.03280230887591;
Beerhub;Warszawa;Powstańców Śląskich 20B;52.22804925;20.9159843495772;
Chmielarnia;Warszawa;Twarda 42;52.231081;20.9955959;
Chmielarnia Marszałkowska;Warszawa;Marszałkowska 10/16;52.2154531;21.0207946;
Chmielołak ;Warszawa;Sowińskiego 25;52.2237294;20.9352628861633;
Craft Beer Muranów;Warszawa;gen. Władysława Andersa 23;52.2509893;20.9978849;
Cuda Na Kiju;Warszawa;Nowy Świat 6/12;52.2313861;21.0223124;
Czeska Piviarnia;Warszawa;ks. J. Popiełuszki 19/21;52.2700906;20.9739513;
Czeska Piviarnia Hospoda;Warszawa;Porajów 10;52.3142872;20.9616670762676;
Cześć;Warszawa;Grzybowska 2;52.2374903;21.0027761;
Drugie Dno Multitap Bar ;Warszawa;Nowogrodzka 4;52.2301543;21.0182888;
Drugie Dno Ochota;Warszawa;Tarczyńska 5/9;52.2231366;20.9890847;
Gorączka Złota;Warszawa;Wilcza 29;52.22475115;21.0164647704411;
Hoppiness;Warszawa;Chmielna 27/31;52.2319302;21.0135535;
Jabeerwocky;Warszawa;Nowogrodzka 12;52.2296549;21.015937;
Jabeerwocky Ursynów;Warszawa;Migdałowa 97;52.14552305;21.0579384;
Kicia Kocia;Warszawa;aleja Stanów Zjednoczonych 68;52.2417613;21.0838369;
Kiełba w Gębie;Warszawa;Koszykowa 63;52.2223264;21.011027;
Klubokawiarnia KEN54;Warszawa;Aleja Komisji Edukacji Narodowej 54;52.14478910240505;21.053235306416827;
Koktajl Mokotowa;Warszawa;Puławska 67;52.2024016;21.0238783;
Kufle i Kapsle;Warszawa;Nowogrodzka 25;52.2291941;21.014801;
Kufle i Kapsle Powiśle;Warszawa;Solec 46a;52.2361221;21.0307171;
Kufle i Kapsle Żoliborz;Warszawa;Księdza Jerzego Popiełuszki 19;52.2700906;20.9739513;
